都道府県,開始日,終了日,救急搬送困難事案数
長崎県,"2020-05-25","2020-05-31",2
熊本県,"2020-05-25","2020-05-31",2
大分県,"2020-05-25","2020-05-31",0
宮崎県,"2020-05-25","2020-05-31",1
鹿児島県,"2020-05-25","2020-05-31",1
沖縄県,"2020-05-25","2020-05-31",0
北海道,"2020-06-01","2020-06-07",66
青森県,"2020-06-01","2020-06-07",1
岩手県,"2020-06-01","2020-06-07",1
宮城県,"2020-06-01","2020-06-07",16
秋田県,"2020-06-01","2020-06-07",0
山形県,"2020-06-01","2020-06-07",4
福島県,"2020-06-01","2020-06-07",0
茨城県,"2020-06-01","2020-06-07",9
栃木県,"2020-06-01","2020-06-07",3
群馬県,"2020-06-01","2020-06-07",0
埼玉県,"2020-06-01","2020-06-07",27
千葉県,"2020-06-01","2020-06-07",49
東京都,"2020-06-01","2020-06-07",498
神奈川県,"2020-06-01","2020-06-07",90
新潟県,"2020-06-01","2020-06-07",5
富山県,"2020-06-01","2020-06-07",1
石川県,"2020-06-01","2020-06-07",1
福井県,"2020-06-01","2020-06-07",0
山梨県,"2020-06-01","2020-06-07",1
長野県,"2020-06-01","2020-06-07",0
岐阜県,"2020-06-01","2020-06-07",0
静岡県,"2020-06-01","2020-06-07",6
愛知県,"2020-06-01","2020-06-07",12
三重県,"2020-06-01","2020-06-07",0
滋賀県,"2020-06-01","2020-06-07",0
京都府,"2020-06-01","2020-06-07",8
大阪府,"2020-06-01","2020-06-07",125
兵庫県,"2020-06-01","2020-06-07",15
奈良県,"2020-06-01","2020-06-07",3
和歌山県,"2020-06-01","2020-06-07",1
鳥取県,"2020-06-01","2020-06-07",0
島根県,"2020-06-01","2020-06-07",0
岡山県,"2020-06-01","2020-06-07",1
広島県,"2020-06-01","2020-06-07",11
山口県,"2020-06-01","2020-06-07",1
徳島県,"2020-06-01","2020-06-07",0
香川県,"2020-06-01","2020-06-07",0
愛媛県,"2020-06-01","2020-06-07",1
高知県,"2020-06-01","2020-06-07",3
福岡県,"2020-06-01","2020-06-07",17
佐賀県,"2020-06-01","2020-06-07",2
長崎県,"2020-06-01","2020-06-07",1
熊本県,"2020-06-01","2020-06-07",6
大分県,"2020-06-01","2020-06-07",2
宮崎県,"2020-06-01","2020-06-07",6
鹿児島県,"2020-06-01","2020-06-07",1
沖縄県,"2020-06-01","2020-06-07",0
北海道,"2020-06-08","2020-06-14",58
青森県,"2020-06-08","2020-06-14",1
岩手県,"2020-06-08","2020-06-14",0
宮城県,"2020-06-08","2020-06-14",18
秋田県,"2020-06-08","2020-06-14",0
